label	x	y
88	2058.52	-784.52
89	2137.44	-720.71
90	1941.25	-678.282
91	1990.4	-689.714
92	865.208	527.098
93	925.096	780.381
94	945.189	551.017
95	927.074	589.123
96	1067.99	569.773
97	851.975	621.853
98	929.792	636.124
99	876.5	686.682
100	1095.27	664.067
101	1011.36	688.178
102	1029.47	608.848
103	1083.71	616.653
104	1364.04	-28.5217
105	1360.07	50.5302
106	1544.09	74.6215
107	1495.62	-69.8141
108	1421.32	-53.7412
109	1448.26	37.6682
110	1466.44	-45.2992
111	1665.2	409.298
112	1656.6	107.489
113	1823.48	80.3051
114	1818.8	179.924
115	1679.02	231.39
116	1834.64	333.45
117	1638.74	311.158
118	2397.85	13.6186
119	2271.06	-60.8408
120	1993.03	43.1341
121	2119.16	-26.7931
122	2262.47	7.44592
123	1483.74	-304.638
124	1660.94	-112.694
125	1482.52	-195.16
126	1598.57	-210.124
127	1576.66	-131.263
128	1539.24	-238.403
129	1601.57	-92.6221
130	1603.98	946.835
131	1445.58	623.579
132	1101.45	784.861
133	1179.95	940.852
134	1290.99	777.285
135	1533.07	857.948
136	1380.08	900.14
137	1481.41	130.421
138	1455.21	200.508
139	1406.89	235.566
140	1517.86	253.622
141	1506.19	369.968
142	1406.22	171.746
143	1434.89	280.957
144	1347.57	-575.307
145	1479.97	-573.513
146	1408.93	-394.719
147	1327.9	-461.668
148	1421.59	-510.524
149	639.893	-849.926
150	966.409	-815.691
151	751.358	-920.745
152	908.798	-934.148
153	827.511	-823.694
154	1165.24	226.241
155	1096.27	-27.6283
156	1222.05	8.52699
157	1051.54	177.537
158	1098.46	96.7332
159	1220.79	106.279
160	1164.86	19.7271
161	1267.77	-23.6052
162	2375.34	-111.428
163	2156.27	-324.405
164	2322.66	-256.782
165	2071.71	-225.476
166	2024.5	-161.139
167	2212.46	-214.692
168	2242.88	-318.874
169	1636.22	-842.093
170	1840.78	-793.98
171	1660.94	-749.614
172	1623.1	-733.297
173	1667.26	-707.851
174	1660.48	-785.552
175	1787.86	-780.57
176	1743.09	-804.641
177	1717.32	-726.824
178	1691.29	-686.985
179	1763.85	-736.323
180	1284.11	-69.2766
181	1384.91	-161.648
182	1301.58	-202.166
183	1288.1	-274.328
184	1336.9	-93.6118
185	1660.28	-1014.07
186	1758.24	-1006.63
187	1600.91	-957.822
188	1815.1	-906.695
189	1731.7	-926.278
190	1724.06	-1014.91
191	1793.31	-850.072
192	1039.88	-271.132
193	1066.86	-161.979
194	1140.17	-281.454
195	1153.22	-172.551
196	1084.96	-263.731
197	1172.23	-216.296
198	1752.74	-707.381
199	1826.6	-724.383
200	1872.15	-711.163
201	1723.83	-662.81
202	1735.64	-632.566
203	1927.45	-605.257
204	1697.7	-621.05
205	1735.34	-592.954
206	1756.55	-613.562
207	1775.71	-579.267
208	1813.66	-670.185
209	1828.74	-655.155
210	1848.73	-670.444
211	1870.1	-654.872
212	1903.93	-664.013
213	1820.17	-557.572
214	1845.7	-587.211
215	1875.48	-592.587
216	1791.05	-723.266
217	1745.81	-672.556
218	1787.17	-693.741
219	1787.86	-668.94
220	1776.99	-647.248
221	1786.66	-641.352
222	1795.72	-634.085
223	1796.08	-617.16
224	1842.02	-634.324
225	1815.95	-618.658
226	1827.04	-613.306
227	1812.13	-593.142
228	1865.55	-624.879
229	1895.02	-614.784
231	1316.98	481.28
232	1200.3	-102.907
233	1002.45	503.497
234	1207.71	651.786
235	1055.74	511.197
236	1167.92	583.917
237	1115.61	-45.3123
238	1319.14	-141.444
239	1457.4	486.673
240	1120	-104.496
241	1260.51	1260.52
242	1237.06	531.063
243	881.774	421.504
244	1320.45	644.453
245	858.192	401.068
246	1081.15	434.788
247	1267.52	1299.39
248	1313.53	1312.09
249	1142.16	492.146
250	1105.15	526.96
251	1398.49	410.2
252	1035.89	456.663
253	1154.91	-87.1958
254	819.856	490.64
255	1307.51	409.767
256	1252.29	-143.982
257	1336.62	1277.73
258	1116.35	403.148
259	918.017	441.992
260	1336.66	1227.77
261	1138.27	448.437
262	1037.82	415.558
263	1353.59	551.829
264	1166.72	-40.1999
265	960.748	474.693
266	800.107	390.739
267	441.662	-564.979
268	877.798	2255.04
269	990.921	-729.513
270	1678.95	-263.13
271	1004.9	571.28
272	816.999	636.044
273	745.631	-501.054
274	1207.96	-1074.06
275	1596.25	-699.884
276	669.116	-677.527
277	741.14	-565.627
278	824.374	-608.712
279	556.979	-545.532
280	1693.73	-363.931
281	1042.84	285.438
282	912.32	296.367
283	912.103	-672.641
284	1335.16	134.897
285	1707.84	612.863
286	1453.58	-16.8752
287	1435.74	159.719
288	1746.16	-28.205
289	1365.36	-973.511
290	1104.41	191.363
291	617.853	1939.67
292	577.894	272.132
293	1210.4	1127.23
294	903.156	-314.651
295	1301.82	1044.46
296	862.811	2118.18
297	426.558	1578
298	463.02	1840.1
299	417.361	1729.01
300	1661.42	674.727
301	601.294	1857.33
302	452.516	1786.17
303	919.758	375.172
304	1397.36	1112
305	300.083	1814.18
306	1701.78	-426.501
307	2051.35	-679.504
308	689.551	-513.295
309	1410.52	1042.45
310	812.845	1760.63
311	1591.46	-322.524
312	1776.2	495.243
313	548.65	1791.76
314	1625.6	518.206
315	602.764	-615.647
316	598.582	2174.62
317	1171.72	-1073.04
318	678.497	-189.508
319	1514.08	-676.17
320	1474.62	1050.46
321	360.622	1779.97
322	661.129	-562.803
323	1611.58	-1.52496
324	911.402	1617.54
325	909.735	-18.6088
326	705.497	239.047
327	414.772	-415.828
328	768.968	306.625
329	1653.01	-641.062
330	2106.98	-612.305
331	995.246	-624.406
