GM0823	302.987	254.97	158	47	60
GM0824	288.611	269.888	162	49	69
GM0826	236.731	291.587	162	49	96
GM0828	340.454	327.906	183	62	55
GM0840	188.823	263.219	144	43	97
GM0844	325.891	287.373	169	51	53
GM0845	316.795	296.123	172	52	59
GM0846	330.953	272.76	164	50	49
GM0847	365.862	226.554	147	58	44
GM0848	333.085	260.918	160	50	48
GM0851	152.615	282.39	140	42	108
GM0852	261.226	495.325	212	67	223
GM0855	268.509	276.849	162	49	79
GM0856	359.41	295.803	171	68	51
GM0858	327.936	212.698	144	43	44
GM0860	347.35	281.856	167	59	50
GM0861	317.591	234.756	151	45	50
GM0865	299.76	295.718	171	51	69
GM0866	330.372	228.605	149	45	45
GM0867	259.814	305.098	170	51	92
GM0870	238.37	323.946	172	52	108
GM0873	155.041	240.025	128	38	91
GM0874	257.283	327.702	177	53	101
GM0879	201.837	252.347	143	43	91
GM0880	236.924	507.924	175	64	215
GM0881	409.755	124.497	110	50	33
GM0882	420.408	108.691	103	48	31
GM0888	384.942	114.551	108	44	32
GM0889	416.253	204.932	132	69	40
GM0893	427.682	280.342	158	93	47
GM0899	411.632	117.756	107	49	32
GM0907	411.515	307.073	169	97	51
GM0917	410.377	105.326	103	46	31
GM0928	406.333	99.555	100	47	30
GM0935	365.694	107.9623	102	38	31
GM0938	376.646	107.115	106	41	32
GM0944	397.831	319.006	175	95	53
GM0946	378.801	205.497	139	58	42
GM0951	392.973	108.229	105	44	32
GM0957	416.38	182.431	128	63	38
GM0962	397.33	119.528	109	47	33
GM0965	408.833	87.6996	97	44	29
GM0971	377.706	124.052	112	44	34
GM0981	396.631	88.5525	93	41	28
GM0983	439.086	230.155	140	81	42
GM0984	408.112	261.011	155	81	46
GM0986	402.04	99.266	102	44	31
GM0988	366.056	190.231	135	52	41
GM0994	387.383	97.003	102	41	31
GM0995	331.183	501.537	243	80	73
GM1507	420.569	243.469	147	80	44
GM1509	476.476	360.003	169	140	51
GM1525	183.62	436.342	183	55	184
GM1581	318.381	390.634	205	61	75
GM1586	501.769	385.89	166	155	50
GM1598	251.36	543.549	133	67	222
GM1621	182.093	383.793	174	52	153
GM1640	396.392	191.858	133	61	40
GM1641	396.142	172.365	127	57	38
GM1651	511.068	735.343	46	152	68
GM1652	375.504	267.153	161	70	48
GM1655	183.489	280.27	148	44	105
GM1658	346.42	222.018	147	50	44
GM1659	353.268	264.603	161	60	48
GM1663	464.178	723.639	51	168	88
GM1667	280.701	226.398	146	44	63
GM1669	415.152	171.986	123	61	37
GM1671	328.239	314.369	179	54	55
GM1674	167.861	261.104	138	41	99
GM1676	92.2426	310.068	126	38	114
GM1680	520.64	632.429	65	168	50
GM1681	542.949	611.049	75	162	49
GM1684	390.374	311.68	174	89	52
GM1685	360.461	311.116	177	72	53
GM1690	468.198	558.634	110	196	59
GM1695	66.3793	278.129	113	34	101
GM1696	271.728	438.676	213	64	154
GM1699	476.921	657.407	54	180	62
GM1700	503.414	495.629	140	181	54
GM1701	455.912	592.657	83	199	60
GM1702	389.074	286.394	166	81	50
GM1705	404.149	357.643	186	114	56
GM1706	351.009	203.362	140	49	42
GM1708	415.841	571.535	94	217	65
GM1709	186.618	297.327	153	46	111
GM1711	400.742	160.739	120	54	36
GM1714	24.6872	217.655	86	26	76
GM1719	220.463	307.329	164	49	107
GM1721	338.973	303.055	175	58	52
GM1722	384.211	713.228	57	190	144
GM1723	240.125	257.422	152	46	84
GM1724	310.804	209.29	142	43	50
GM1728	294.95	224.866	147	44	58
GM1729	390.568	89.4725	96	41	29
GM1730	501.637	658.163	51	171	52
GM1731	493.274	600.494	81	183	55
GM1734	378.74	363.177	192	100	58
GM1735	503.05	442.681	163	175	53
GM1740	349.115	360.949	194	75	58
GM1742	478.88	456.074	173	187	56
GM1771	349.556	239.65	153	54	46
GM1773	435.608	474.397	195	206	62
GM1774	552.146	477.801	126	159	48
GM1783	137.462	382.726	158	47	153
GM1842	151.055	374.383	161	48	149
GM1859	500.66	408.701	171	168	51
GM1876	459.549	394.176	182	157	55
GM1883	387.852	133.086	114	48	34
GM1884	201.599	430.778	190	57	181
GM1891	407.847	702.791	57	189	123
GM1892	197.675	382.328	178	53	150
GM1894	413.478	216.232	139	71	42
GM1895	569.17	684.315	48	142	43
GM1896	421.422	533.247	145	216	65
GM1900	340.867	635.85	66	221	201
GM1901	222.386	398.746	189	57	154
GM1903	378.566	92.0322	97	38	29
GM1904	260.558	426.404	207	62	153
GM1908	361.327	684.818	61	202	168
GM1911	251.79	589.857	67	65	217
GM1916	169.431	405.562	174	52	166
GM1921	369.086	611.515	67	224	139
GM1924	122.127	320.368	140	42	123
GM1926	169.136	387.341	170	51	156
GM1927	227.497	354.998	179	54	126
GM1955	446.151	361.888	178	134	53
GM1987	542.579	676.386	49	153	46
