GM1701	Drenthe
GM0293	Gelderland
GM1950	Groningen
GM1783	Zuid-Holland
GM0098	Friesland
GM0614	Zuid-Holland
GM0189	Overijssel
GM0296	Gelderland
GM1696	Noord-Holland
GM0352	Utrecht
GM0294	Gelderland
GM0873	Noord-Brabant
GM0632	Utrecht
GM1690	Drenthe
GM0880	Noord-Holland
GM0351	Utrecht
GM0479	Noord-Holland
GM0297	Gelderland
GM0473	Noord-Holland
GM0050	Flevoland
GM0355	Utrecht
GM0299	Gelderland
GM0637	Zuid-Holland
GM0638	Zuid-Holland
GM1892	Zuid-Holland
GM0879	Noord-Brabant
GM0301	Gelderland
GM1896	Overijssel
GM0642	Zuid-Holland
GM0193	Overijssel
